00:44:45 [5002ms] frame_data_operations[28]| DEBUG: Splitting Invuln. (Full) (Frames 1-14) on comma and removing spaces
00:44:45 [5002ms] frame_data_operations[23]| DEBUG: Removing spaces from Invuln. (Full) (Frames 1-14)
00:44:45 [5002ms] frame_data_operations[28]| DEBUG: Splitting Invuln. (Full) (Frames 1-13) on comma and removing spaces
00:44:45 [5003ms] frame_data_operations[23]| DEBUG: Removing spaces from Invuln. (Full) (Frames 1-13)
00:44:45 [5003ms] frame_data_operations[28]| DEBUG: Splitting Hit Grab, Invuln. (Full) (Frames 1-16) on comma and removing spaces
00:44:45 [5003ms] frame_data_operations[23]| DEBUG: Removing spaces from Hit Grab, Invuln. (Full) (Frames 1-16)
00:44:45 [5003ms] frame_data_operations[28]| DEBUG: Splitting Projectile, Invuln. (Full) (Frames 10-11), 70Damage Scaling on comma and removing spaces
00:44:45 [5003ms] frame_data_operations[23]| DEBUG: Removing spaces from Projectile, Invuln. (Full) (Frames 10-11), 70Damage Scaling
00:44:45 [5003ms] frame_data_operations[28]| DEBUG: Splitting Projectile, Invuln. (Full) (Frames 8-16) on comma and removing spaces
00:44:45 [5003ms] frame_data_operations[23]| DEBUG: Removing spaces from Projectile, Invuln. (Full) (Frames 8-16)
00:44:45 [5004ms] frame_data_operations[28]| DEBUG: Splitting Armor, No Cancel (Supers) on comma and removing spaces
00:44:45 [5004ms] frame_data_operations[23]| DEBUG: Removing spaces from Armor, No Cancel (Supers)
00:44:45 [5004ms] frame_data_operations[28]| DEBUG: Splitting No Cancel (Supers), Invuln. (Full) (Frames 1-19) on comma and removing spaces
00:44:45 [5004ms] frame_data_operations[23]| DEBUG: Removing spaces from No Cancel (Supers), Invuln. (Full) (Frames 1-19)
00:44:45 [5004ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5004ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5004ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5004ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5005ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5005ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5005ms] frame_data_operations[28]| DEBUG: Splitting Projectile on comma and removing spaces
00:44:45 [5005ms] frame_data_operations[23]| DEBUG: Removing spaces from Projectile
00:44:45 [5005ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5005ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5005ms] frame_data_operations[28]| DEBUG: Splitting Hit Grab on comma and removing spaces
00:44:45 [5005ms] frame_data_operations[23]| DEBUG: Removing spaces from Hit Grab
00:44:45 [5006ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5006ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5006ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5006ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5006ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5006ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5006ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5006ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5007ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5007ms] frame_data_operations[23]| DEBUG: Removing spaces from -
